average_salary,benefits,experience_levels,gender,job_title,median_salary,salary_period,summary,url
"Rs 1,196,663","{'Medical': '63%', 'Dental': '13%', 'Vision': '19%', 'None': '38%'}","{'Entry Level': '▼44%', 'Early Career': '▼35%', 'Mid Career': '▲9%', 'Late Career': '▲71%', 'Experienced': '▲35%'}","{'Male': '86.9%', 'Female': '13.1%'}",Average Finance Manager Salary in Pakistan,PKR 1m,/ year,"The average salary for a Finance Manager is Rs 1,196,663 in 2025",https://www.payscale.com/research/PK/Job=Finance_Manager/Salary
"Rs 188,571","{'Medical': '57%', 'Dental': '14%', 'Vision': '14%', 'None': '36%'}","{'Entry Level': '▲19%', 'Early Career': '▲13%', 'Mid Career': '▲245%', 'Late Career': '▲91%'}","{'Male': '90.9%', 'Female': '9.1%'}",Average Computer Operator Salary in Pakistan,PKR 189k,/ year,"The average salary for a Computer Operator is Rs 188,571 in 2025",https://www.payscale.com/research/PK/Job=Computer_Operator/Salary
"Rs 650,256","{'Medical': '36%', 'Dental': '2%', 'Vision': '2%', 'None': '64%'}","{'Entry Level': '▼46%', 'Early Career': '▼3%', 'Mid Career': '▲131%', 'Late Career': '▲112%'}","{'Male': '90.4%', 'Female': '9.6%'}",Average Front End Developer / Engineer Salary in Pakistan,PKR 650k,/ year,"The average salary for a Front End Developer / Engineer is Rs 650,256 in 2025",https://www.payscale.com/research/PK/Job=Front_End_Developer_%2F_Engineer/Salary
"Rs 479,200","{'Medical': '60%', 'Dental': '13%', 'Vision': '13%', 'None': '40%'}","{'Entry Level': '▲4%', 'Early Career': '▼9%', 'Mid Career': '▲24%', 'Late Career': '▲109%', 'Experienced': '▲88%'}","{'Male': '98.1%', 'Female': '1.9%'}",Average Electrical Engineer Salary in Pakistan,PKR 479k,/ year,"The average salary for an Electrical Engineer is Rs 479,200 in 2025",https://www.payscale.com/research/PK/Job=Electrical_Engineer/Salary
"Rs 121,356","{'Medical': '75%', 'Dental': '13%', 'Vision': '13%', 'None': '25%'}","{'Early Career': '▼26%', 'Mid Career': '▲65%', 'Late Career': '▲839%', 'Experienced': '▲147%'}","{'Male': '60.9%', 'Female': '39.1%'}",Average Registered Nurse (RN) Salary in Pakistan,PKR 121k,/ year,"The average salary for a Registered Nurse (RN) is Rs 121,356 in 2025",https://www.payscale.com/research/PK/Job=Registered_Nurse_(RN)/Salary
"Rs 614,451","{'Medical': '13%', 'None': '88%'}","{'Early Career': '▲13%', 'Mid Career': '▼14%', 'Late Career': '▲108%', 'Experienced': '▼76%'}","{'Male': '66.7%', 'Female': '33.3%'}",Average Design Architect Salary in Pakistan,PKR 614k,/ year,"The average salary for a Design Architect is Rs 614,451 in 2025",https://www.payscale.com/research/PK/Job=Design_Architect/Salary
"Rs 255,500","{'Medical': '100%', 'Dental': '100%', 'Vision': '100%'}",{},{'Male': '100.0%'},Average Logistics Supervisor Salary in Pakistan,,/ year,"The average salary for a Logistics Supervisor is Rs 255,500 in 2025",https://www.payscale.com/research/PK/Job=Logistics_Supervisor/Salary
"Rs 713,943","{'Medical': '69%', 'Dental': '13%', 'Vision': '6%', 'None': '31%'}","{'Early Career': '▼12%', 'Mid Career': '▲20%', 'Late Career': '▲89%'}","{'Male': '95.2%', 'Female': '4.8%'}",Average Project Engineer Salary in Pakistan,PKR 714k,/ year,"The average salary for a Project Engineer is Rs 713,943 in 2025",https://www.payscale.com/research/PK/Job=Project_Engineer/Salary
"Rs 531,623","{'Medical': '72%', 'Dental': '11%', 'Vision': '11%', 'None': '25%'}","{'Entry Level': '▲33%', 'Early Career': '▲4%', 'Mid Career': '▲7%', 'Late Career': '▲5%'}","{'Male': '88.7%', 'Female': '11.3%'}",Average Data Analyst Salary in Pakistan,PKR 532k,/ year,"The average salary for a Data Analyst is Rs 531,623 in 2025",https://www.payscale.com/research/PK/Job=Data_Analyst/Salary
"Rs 1,248,000","{'Medical': '50%', 'None': '50%'}",{},{'Male': '100.0%'},Average Building Information Modeling (BIM) Coordinator Salary in Pakistan,,/ year,"The average salary for a Building Information Modeling (BIM) Coordinator is Rs 1,248,000 in 2025",https://www.payscale.com/research/PK/Job=Building_Information_Modeling_(BIM)_Coordinator/Salary
